first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Luis,Torrens,C,,2021-04-24,Early,SEA,BOS,7,,+1.5,9,3.8,3300,0.0,0.8,2.0,6.0,1.82
Andrew,Knizner,C,,2021-04-24,Early,STL,CIN,7,,-1.5,8.5,4.3,2600,0.0,3.4,9.0,5.9,2.27
Jason,Castro,C,,2021-04-24,Early,HOU,LAA,9,,-1.5,9,4.8,4200,2.0,5.6,11.0,5.9,1.40
JaCoby,Jones,OF,,2021-04-24,Early,DET,KC,9,,+1.5,7.5,3.7,3000,0.0,2.6,10.0,5.9,1.97
Erik,Gonzalez,3B,,2021-04-24,Early,PIT,MIN,5,,+1.5,8,3.3,3000,2.0,7.2,11.0,5.9,1.97
Gregory,Polanco,OF,,2021-04-24,Early,PIT,MIN,6,,+1.5,8,3.3,2900,0.0,4.0,9.0,5.9,2.03
Victor,Robles,OF,,2021-04-24,Early,WAS,NYM,,,+1.5,7.5,3.2,2800,0.0,3.2,7.0,5.8,2.07
Justin,Williams,OF,,2021-04-24,Early,STL,CIN,8,,-1.5,8.5,4.3,2200,0.0,3.8,14.0,5.7,2.59
Matt,Duffy,1B,,2021-04-24,Early,CHC,MIL,5,,-1.5,7.5,3.8,2300,0.0,4.6,21.0,5.7,2.48
Willi,Castro,SS,,2021-04-24,Early,DET,KC,5,,+1.5,7.5,3.7,4900,0.0,3.6,8.0,5.7,1.16
Luis,Urias,SS,,2021-04-24,Early,MIL,CHC,8,,+1.5,7.5,3.7,3300,0.0,6.0,8.0,5.5,1.67
Nico,Hoerner,2B,,2021-04-24,Early,CHC,MIL,8,,-1.5,7.5,3.8,2200,0.0,6.8,23.0,5.5,2.50
Andrew,Benintendi,OF,,2021-04-24,Early,KC,DET,7,,-1.5,7.5,3.9,3300,0.0,6.6,14.0,5.4,1.64
Todd,Frazier,3B,,2021-04-24,Early,PIT,MIN,7,,+1.5,8,3.3,2400,0.0,2.0,5.0,5.4,2.25
Colin,Moran,1B,,2021-04-24,Early,PIT,MIN,4,,+1.5,8,3.3,4400,0.0,5.8,21.0,5.3,1.20
Eric,Sogard,2B,,2021-04-24,Early,CHC,MIL,7,,-1.5,7.5,3.8,2000,0.0,5.6,14.0,5.3,2.65
Jonathan,India,2B,,2021-04-24,Early,CIN,STL,6,,+1.5,8.5,4.2,3600,0.0,6.0,15.0,5.3,1.47
Cam,Gallagher,C,,2021-04-24,Early,KC,DET,9,,-1.5,7.5,3.9,2600,0.0,2.0,8.0,5.3,2.04
Luis,Rengifo,2B,,2021-04-24,Early,LAA,HOU,9,,+1.5,9,4.2,2700,0.0,1.8,5.0,5.2,1.93
Wilson,Ramos,C,,2021-04-24,Early,DET,KC,4,,+1.5,7.5,3.7,5400,0.0,2.8,8.0,5.2,0.96
Kevin,Newman,SS,,2021-04-24,Early,PIT,MIN,9,,+1.5,8,3.3,3500,0.0,2.0,5.0,5.1,1.46
Kyle,Farmer,3B,,2021-04-24,Early,CIN,STL,8,,+1.5,8.5,4.2,2300,0.0,2.8,14.0,4.8,2.09
Michael,Perez,C,,2021-04-24,Early,PIT,MIN,8,,+1.5,8,3.3,2300,0.0,2.2,6.0,4.8,2.09
Ryan,Zimmerman,1B,,2021-04-24,Early,WAS,NYM,,,+1.5,7.5,3.2,4000,0.0,3.6,11.0,4.7,1.18
Yan,Gomes,C,,2021-04-24,Early,WAS,NYM,,,+1.5,7.5,3.2,3400,0.0,7.0,17.0,4.6,1.35
Jonathan,Villar,2B,,2021-04-24,Early,NYM,WAS,,,-1.5,7.5,4.3,3500,0.0,1.8,6.0,3.5,1.00
Scott,Schebler,OF,,2021-04-24,Early,LAA,HOU,6,,+1.5,9,4.2,2200,0.0,6.2,18.0,3.4,1.55
Luis,Guillorme,2B,,2021-04-24,Early,NYM,WAS,,,-1.5,7.5,4.3,3300,0.0,1.6,3.0,3.3,1.00
Tyrone,Taylor,OF,,2021-04-24,Early,MIL,CHC,3,,+1.5,7.5,3.7,2000,0.0,5.0,10.0,3.2,1.60
Jordy,Mercer,2B,,2021-04-24,Early,WAS,NYM,,,+1.5,7.5,3.2,2700,0.0,2.2,5.0,3.2,1.19
Alex,Avila,C,,2021-04-24,Early,WAS,NYM,,,+1.5,7.5,3.2,2700,0.0,4.0,18.0,3.1,1.15
Albert,Almora Jr.,OF,,2021-04-24,Early,NYM,WAS,,,-1.5,7.5,4.3,2500,0.0,1.0,3.0,2.5,1.00
Robel,Garcia,3B,,2021-04-24,Early,HOU,LAA,7,,-1.5,9,4.8,2000,0.0,2.0,5.0,1.9,0.95
Kevin,Pillar,OF,,2021-04-24,Early,NYM,WAS,,,-1.5,7.5,4.3,2400,0.0,0.0,0.0,1.7,0.71
Hernan,Perez,2B,,2021-04-24,Early,WAS,NYM,,,+1.5,7.5,3.2,2200,0.0,0.4,2.0,1.7,0.77
Tomas,Nido,C,,2021-04-24,Early,NYM,WAS,,,-1.5,7.5,4.3,2000,0.0,3.0,15.0,1.7,0.85
Yadiel,Hernandez,OF,,2021-04-24,Early,WAS,NYM,,,+1.5,7.5,3.2,2000,0.0,0.4,2.0,1.1,0.55
Tristen,Lutz,OF,O,2021-04-24,Early,MIL,CHC,-1,,+1.5,7.5,3.7,2000,,,,0.0,0.00
Freddy,Zamora,SS,O,2021-04-24,Early,MIL,CHC,-1,,+1.5,7.5,3.7,2000,,,,0.0,0.00
Kyle,Garlick,OF,O,2021-04-24,Early,MIN,PIT,-1,,-1.5,8,4.7,3000,0.0,3.4,8.0,0.0,0.00
Danny,Santana,1B,O,2021-04-24,Early,BOS,SEA,-1,,-1.5,9,5.2,3700,0.0,5.8,10.0,0.0,0.00
Andrelton,Simmons,SS,O,2021-04-24,Early,MIN,PIT,-1,,-1.5,8,4.7,4400,0.0,6.8,21.0,0.0,0.00
Taylor,Ward,OF,O,2021-04-24,Early,LAA,HOU,-1,,+1.5,9,4.2,2000,2.0,5.0,15.0,0.0,0.00
Pablo,Reyes,2B,O,2021-04-24,Early,MIL,CHC,,,+1.5,7.5,3.7,2000,,,,0.0,0.00
Blake,Swihart,C,O,2021-04-24,Early,WAS,NYM,,,+1.5,7.5,3.2,2000,,,,0.0,0.00
Nick,Dini,C,O,2021-04-24,Early,KC,DET,-1,,-1.5,7.5,3.9,2000,,,,0.0,0.00
Max,Kepler,OF,O,2021-04-24,Early,MIN,PIT,-1,,-1.5,8,4.7,4200,0.0,6.4,10.0,0.0,0.00
Jose,Altuve,2B,O,2021-04-24,Early,HOU,LAA,-1,,-1.5,9,4.8,5000,2.0,8.0,20.0,0.0,0.00
Jeremy,Pena,SS,O,2021-04-24,Early,HOU,LAA,-1,,-1.5,9,4.8,2000,,,,0.0,0.00
Adrian,Sanchez,2B,O,2021-04-24,Early,WAS,NYM,,,+1.5,7.5,3.2,2000,,,,0.0,0.00
Jared,Oliva,OF,O,2021-04-24,Early,PIT,MIN,-1,,+1.5,8,3.3,2000,0.0,2.8,8.0,0.0,0.00
Jacob,Robson,OF,O,2021-04-24,Early,DET,KC,-1,,+1.5,7.5,3.7,2000,,,,0.0,0.00
JT,Riddle,2B,O,2021-04-24,Early,MIN,PIT,-1,,-1.5,8,4.7,2000,0.0,3.0,7.0,0.0,0.00
